"","Nose_x","Nose_y","Nose_p","Ear_left_x","Ear_left_y","Ear_left_p","Ear_right_x","Ear_right_y","Ear_right_p","Lat_left_x","Lat_left_y","Lat_left_p","Lat_right_x","Lat_right_y","Lat_right_p","Center_x","Center_y","Center_p","Tail_base_x","Tail_base_y","Tail_base_p","Tail_end_x","Tail_end_y","Tail_end_p"
"43",752.7706,847.7965,1,788.5883,862.72754,1,777.25,833.82446,1,814.67865,856.60834,0.9317413,789.1185,814.45764,1,824.55255,821.25964,1,849.90894,795.55774,1,947.8667,833.17786,1
"44",745.282,842.57434,1,777.8644,863.37476,1,772.82,834.5238,1,803.27954,860.1406,0.93675584,786.80475,815.3409,1,820.39594,824.7587,1,847.3856,797.587,1,947.26794,831.51666,1
"45",740.46967,843.0255,1,773.0978,864.59174,0.9966624,768.8994,835.30994,1,800.7003,864.9635,0.8501691,784.6902,815.9842,1,814.6305,827.803,1,843.4063,802.0356,1,945.901,831.7976,1
"46",736.65137,844.1256,0.99076515,766.7,865.84875,1,764.20844,836.3526,1,798.3996,867.92664,0.87363154,779.17584,820.33563,1,811.0929,831.97705,0.99193025,842.04834,804.11163,1,943.10864,829.6425,1
"47",732.2863,852.2694,0.33860922,765.25885,865.8787,0.94435126,761.3297,838.1665,0.8596184,792.69763,869.0126,0.7837336,773.8192,822.59344,0.98302555,806.6915,836.75085,1,837.12036,809.258,1,912.97656,778.20905,0.47932446
"48",727.96313,846.30865,0.9891809,757.83563,866.80725,1,754.3974,837.2241,0.96676224,784.1812,868.411,0.8804745,770.85004,818.0534,0.9585565,800.34546,836.0278,1,838.1668,806.41565,1,600.5814,962.52997,0.110830955
"49",722.14343,847.18207,1,755.5133,868.58624,1,751.6881,837.79034,1,783.23694,867.3738,0.8785635,767.9693,819.885,1,799.2074,834.08527,1,830.2858,810.3688,1,936.7774,832.44824,1
"50",716.8638,848.0727,1,748.1247,866.40546,1,744.79266,837.8979,1,774.2694,866.2908,0.86187136,761.72656,821.49744,1,793.0971,836.8018,1,827.3122,814.9062,1,937.363,836.65186,1
"51",710.37463,850.7967,1,745.52795,866.4402,1,739.56494,837.5417,1,769.1428,865.4745,0.915952,758.1799,819.1396,1,790.9582,837.5779,1,826.1216,820.5168,1,937.33374,838.1212,1
"52",704.0935,853.4949,1,740.2766,868.0991,1,733.88855,839.8818,1,766.2025,867.53534,0.90419406,756.1206,820.3704,1,784.46606,839.32495,1,822.04626,823.3796,1,936.0994,844.84106,1
