,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
68,fixed_J1-564,Animal_1,Center,top_left_corner,358.73333333333335,358.8333333333333,10762,10764,0.1
69,fixed_J1-564,Animal_1,Center,top_left_corner,359.1,374.1333333333333,10773,11223,15.033333333333333
70,fixed_J1-564,Animal_1,Center,top_left_corner,386.0,437.8666666666667,11580,13135,51.86666666666667
71,fixed_J1-564,Animal_1,Center,top_left_corner,462.1,489.46666666666664,13863,14683,27.366666666666667
72,fixed_J1-564,Animal_1,Center,top_left_corner,539.4,546.7333333333333,16182,16401,7.333333333333333
73,fixed_J1-564,Animal_1,Center,top_left_corner,580.1333333333333,634.1666666666666,17404,19024,54.03333333333333
74,fixed_J1-564,Animal_1,Center,center,250.63333333333333,250.73333333333332,7519,7521,0.1
75,fixed_J1-564,Animal_1,Center,center,250.93333333333334,250.96666666666667,7528,7528,0.03333333333333333
76,fixed_J1-564,Animal_1,Center,center,251.0,251.06666666666666,7530,7531,0.06666666666666667
77,fixed_J1-564,Animal_1,Center,center,260.06666666666666,260.43333333333334,7802,7812,0.36666666666666664
78,fixed_J1-564,Animal_1,Center,center,260.6333333333333,260.7,7819,7820,0.06666666666666667
79,fixed_J1-564,Animal_1,Center,center,260.76666666666665,261.1333333333333,7823,7833,0.36666666666666664
80,fixed_J1-564,Animal_1,Center,center,261.26666666666665,261.3666666666667,7838,7840,0.1
81,fixed_J1-564,Animal_1,Center,center,261.4,261.43333333333334,7842,7842,0.03333333333333333
82,fixed_J1-564,Animal_1,Center,center,261.53333333333336,261.6,7846,7847,0.06666666666666667
83,fixed_J1-564,Animal_1,Center,center,261.76666666666665,263.03333333333336,7853,7890,1.2666666666666666
84,fixed_J1-564,Animal_1,Center,center,355.1333333333333,355.8,10654,10673,0.6666666666666666
85,fixed_J1-564,Animal_1,Center,center,375.8,379.23333333333335,11274,11376,3.433333333333333
86,fixed_J1-564,Animal_1,Center,center,451.96666666666664,453.26666666666665,13559,13597,1.3
87,fixed_J1-564,Animal_1,Center,center,512.2,515.7333333333333,15366,15471,3.533333333333333
88,fixed_J6-491,Animal_1,Center,top_right_corner,227.96666666666667,236.26666666666668,6839,7087,8.3
89,fixed_J6-491,Animal_1,Center,top_right_corner,255.36666666666667,255.4,7661,7661,0.03333333333333333
90,fixed_J6-491,Animal_1,Center,bottom_right_corner,1.3666666666666667,67.86666666666666,41,2035,66.5
91,fixed_J6-491,Animal_1,Center,bottom_right_corner,80.63333333333334,147.43333333333334,2419,4422,66.8
92,fixed_J6-491,Animal_1,Center,bottom_right_corner,149.33333333333334,213.9,4480,6416,64.56666666666666
93,fixed_J6-491,Animal_1,Center,bottom_right_corner,245.2,245.56666666666666,7356,7366,0.36666666666666664
